cluster_rep	cluster_size	chosen_fasta_id	reason	beta_res	helix_res	beta_strands	helices
8B5R_EMD-15861_I	1	8B5R_EMD-15861_I	singleton	1	0	1	0
8B5R_EMD-15861_K	1	8B5R_EMD-15861_K	singleton	23	19	7	3
8B6L_EMD-15870_A	1	8B6L_EMD-15870_A	singleton	21	284	8	24
8B6L_EMD-15870_B	1	8B6L_EMD-15870_B	singleton	0	17	0	2
8B6L_EMD-15870_C	1	8B6L_EMD-15870_C	singleton	0	59	0	2
8B6L_EMD-15870_E	1	8B6L_EMD-15870_E	singleton	74	27	8	3
8B6L_EMD-15870_F	1	8B6L_EMD-15870_F	singleton	68	35	11	3
8B6L_EMD-15870_G	1	8B6L_EMD-15870_G	singleton	0	127	0	6
8B6L_EMD-15870_H	1	8B6L_EMD-15870_H	singleton	53	39	8	3
8B6L_EMD-15870_I	1	8B6L_EMD-15870_I	singleton	44	432	16	36
8B6L_EMD-15870_J	1	8B6L_EMD-15870_J	singleton	8	76	2	4
8B6L_EMD-15870_K	1	8B6L_EMD-15870_K	singleton	0	30	0	2
8B6L_EMD-15870_L	1	8B6L_EMD-15870_L	singleton	1	54	1	3
8B6L_EMD-15870_M	1	8B6L_EMD-15870_M	singleton	0	91	0	5
8B6L_EMD-15870_N	1	8B6L_EMD-15870_N	singleton	136	88	30	11
8B6L_EMD-15870_O	1	8B6L_EMD-15870_O	singleton	221	171	36	9
8B6L_EMD-15870_P	1	8B6L_EMD-15870_P	singleton	139	245	28	20
8BBF_EMD-15955_A	1	8BBF_EMD-15955_A	singleton	343	134	60	15
8BBF_EMD-15955_B	1	8BBF_EMD-15955_B	singleton	369	323	65	33
8BBF_EMD-15955_C	1	8BBF_EMD-15955_C	singleton	33	220	15	17
8BXD_EMD-16315_A	1	8BXD_EMD-16315_A	singleton	87	106	18	6
8C0W_EMD-16373_A	1	8C0W_EMD-16373_A	singleton	153	384	42	44
8C0W_EMD-16373_B	1	8C0W_EMD-16373_B	singleton	118	274	26	30
8C50_EMD-16431_A	1	8C50_EMD-16431_A	singleton	261	0	42	0
8CO6_EMD-16772_A	2	8COA_EMD-16774_A	residue_sum=409	229	180	41	17
8CO6_EMD-16772_BA	1	8CO6_EMD-16772_BA	singleton	117	341	30	33
8CO6_EMD-16772_D	4	8UK2_EMD-42343_B	residue_sum=132	72	60	14	8
8COA_EMD-16774_Q	2	8COA_EMD-16774_Q	residue_sum=250	120	130	18	14
8CRB_EMD-16807_A	1	8CRB_EMD-16807_A	singleton	103	13	20	4
8CRB_EMD-16807_B	1	8CRB_EMD-16807_B	singleton	82	19	19	5
8CRB_EMD-16807_C	1	8CRB_EMD-16807_C	singleton	4	71	2	5
8CTJ_EMD-26992_A	1	8CTJ_EMD-26992_A	singleton	55	219	12	11
8CZD_EMD-27095_A	1	8CZD_EMD-27095_A	singleton	0	76	0	8
8DAN_EMD-27271_C	1	8DAN_EMD-27271_C	singleton	103	27	23	7
8DDW_EMD-27344_A	2	9N1I_EMD-48813_A	residue_sum=653	70	583	24	46
8DEC_EMD-27389_A	2	8DAN_EMD-27271_A	residue_sum=233	182	51	33	7
8DEC_EMD-27389_B	2	8DEC_EMD-27389_B	residue_sum=243	181	62	32	5
8DEC_EMD-27389_C	1	8DEC_EMD-27389_C	singleton	73	3	16	1
8DEQ_EMD-27395_G	1	8DEQ_EMD-27395_G	singleton	57	9	11	3
8DEQ_EMD-27395_H	1	8DEQ_EMD-27395_H	singleton	57	9	11	3
8DIT_EMD-27442_A	1	8DIT_EMD-27442_A	singleton	77	306	22	28
8DIT_EMD-27442_B	1	8DIT_EMD-27442_B	singleton	146	355	33	35
8DIT_EMD-27442_C	1	8DIT_EMD-27442_C	singleton	158	307	30	29
8DME_EMD-27534_A	1	8DME_EMD-27534_A	singleton	170	441	43	44
8DS6_EMD-27684_A	1	8DS6_EMD-27684_A	singleton	52	155	12	12
8DTL_EMD-27704_A	1	8DTL_EMD-27704_A	singleton	248	69	68	13
8DUO_EMD-27724_A	1	8DUO_EMD-27724_A	singleton	44	198	13	23
8DWT_EMD-27759_A	1	8DWT_EMD-27759_A	singleton	65	120	20	13
8DYO_EMD-27780_A	1	8DYO_EMD-27780_A	singleton	0	616	0	60
8DYO_EMD-27780_B	1	8DYO_EMD-27780_B	singleton	27	47	11	6
8E05_EMD-27817_A	1	8E05_EMD-27817_A	singleton	398	569	95	68
8E34_EMD-27856_A	2	8EEQ_EMD-28055_A	residue_sum=300	8	292	4	20
8E3A_EMD-27861_A	4	8E3B_EMD-27862_A	residue_sum=80	63	17	15	4
8E3A_EMD-27861_B	4	8E3C_EMD-27863_B	residue_sum=83	61	22	17	5
8E3A_EMD-27861_C	4	8E3B_EMD-27862_C	residue_sum=87	64	23	17	5
8E3A_EMD-27861_D	1	8E3A_EMD-27861_D	singleton	0	4	0	1
8E6R_EMD-27923_A	2	8E6S_EMD-27924_A	residue_sum=649	65	584	21	56
8EJ5_EMD-28176_A	1	8EJ5_EMD-28176_A	singleton	52	177	15	20
8EJ5_EMD-28176_B	1	8EJ5_EMD-28176_B	singleton	0	66	0	5
8EKI_EMD-28204_A	1	8EKI_EMD-28204_A	singleton	12	122	3	3
8EKI_EMD-28204_B	1	8EKI_EMD-28204_B	singleton	0	68	0	3
8EKI_EMD-28204_C	1	8EKI_EMD-28204_C	singleton	3	502	3	31
8EKI_EMD-28204_D	1	8EKI_EMD-28204_D	singleton	0	452	0	38
8EKI_EMD-28204_E	1	8EKI_EMD-28204_E	singleton	34	454	8	30
8EP0_EMD-28494_A	2	8EP0_EMD-28494_A	residue_sum=475	96	379	25	34
8EQB_EMD-28536_A	1	8EQB_EMD-28536_A	singleton	65	3	11	1
8EQB_EMD-28536_B	1	8EQB_EMD-28536_B	singleton	55	82	10	7
8EQB_EMD-28536_C	1	8EQB_EMD-28536_C	singleton	46	65	7	5
8ET2_EMD-28584_A	1	8ET2_EMD-28584_A	singleton	71	26	14	3
8EW5_EMD-28208_A	1	8EW5_EMD-28208_A	singleton	0	42	0	3
8EWY_EMD-28649_A	1	8EWY_EMD-28649_A	singleton	218	406	56	44
8EWY_EMD-28649_C	1	8EWY_EMD-28649_C	singleton	4	6	2	2
8EXQ_EMD-28659_A	2	8EXQ_EMD-28659_A	residue_sum=353	79	274	17	24
8EZ9_EMD-28731_B	1	8EZ9_EMD-28731_B	singleton	53	2114	23	200
8FB9_EMD-28962_A	1	8FB9_EMD-28962_A	singleton	0	48	0	4
8FB9_EMD-28962_B	2	8FB9_EMD-28962_B	residue_sum=32	0	32	0	1
8FB9_EMD-28962_Q	1	8FB9_EMD-28962_Q	singleton	0	48	0	4
8FCK_EMD-28981_E	1	8FCK_EMD-28981_E	singleton	2	165	1	5
8FCK_EMD-28981_F	1	8FCK_EMD-28981_F	singleton	7	276	3	18
8FCK_EMD-28981_G	1	8FCK_EMD-28981_G	singleton	0	239	0	18
8FCK_EMD-28981_H	1	8FCK_EMD-28981_H	singleton	6	179	2	6
8FEJ_EMD-29029_A	2	8FEJ_EMD-29029_A	residue_sum=237	88	149	27	12
8FFJ_EMD-29044_A	1	8FFJ_EMD-29044_A	singleton	140	56	55	12
8FFJ_EMD-29044_B	2	7T17_EMD-25606_A	residue_sum=188	168	20	38	5
8FFJ_EMD-29044_C	9	6ZDG_EMD-11173_C	residue_sum=132	115	17	19	4
8FFJ_EMD-29044_D	1	8FFJ_EMD-29044_D	singleton	59	6	11	2
8FMB_EMD-29291_A	1	8FMB_EMD-29291_A	singleton	30	192	9	18
8FNW_EMD-29328_A	1	8FNW_EMD-29328_A	singleton	56	427	15	40
8FNW_EMD-29328_M	1	8FNW_EMD-29328_M	singleton	38	433	14	36
8FOE_EMD-29347_A	1	8FOE_EMD-29347_A	singleton	38	194	12	18
8FOE_EMD-29347_B	1	8FOE_EMD-29347_B	singleton	12	253	4	22
8FOE_EMD-29347_C	1	8FOE_EMD-29347_C	singleton	108	104	34	14
8FOE_EMD-29347_D	1	8FOE_EMD-29347_D	singleton	108	104	34	14
8FQ1_EMD-29373_E	1	8FQ1_EMD-29373_E	singleton	18	123	5	5
8FTK_EMD-29439_A	1	8FTK_EMD-29439_A	singleton	90	933	29	73
8FXR_EMD-29541_AC	1	8FXR_EMD-29541_AC	singleton	11	0	1	0
8FXR_EMD-29541_AE	1	8FXR_EMD-29541_AE	singleton	12	0	1	0
8FXR_EMD-29541_AG	1	8FXR_EMD-29541_AG	singleton	11	0	1	0
8FXR_EMD-29541_X	1	8FXR_EMD-29541_X	singleton	1	0	1	0
8FXR_EMD-29541_Y	1	8FXR_EMD-29541_Y	singleton	13	4	1	1
8FZC_EMD-29607_A	1	8FZC_EMD-29607_A	singleton	0	145	0	12
8G72_EMD-29794_A	1	8G72_EMD-29794_A	singleton	60	6	10	2
8G79_EMD-29803_D	1	8G79_EMD-29803_D	singleton	47	28	16	6
8G79_EMD-29803_E	1	8G79_EMD-29803_E	singleton	55	3	12	1
8GBS_EMD-29921_A	1	8GBS_EMD-29921_A	singleton	1	0	1	0
8GHA_EMD-40029_A	1	8GHA_EMD-40029_A	singleton	19	37	6	3
8GHA_EMD-40029_B	1	8GHA_EMD-40029_B	singleton	179	21	35	3
8GHA_EMD-40029_C	1	8GHA_EMD-40029_C	singleton	179	21	35	3
8GP3_EMD-34188_B	1	8GP3_EMD-34188_B	singleton	160	16	25	3
8GTC_EMD-34249_A	2	8GTC_EMD-34249_A	residue_sum=77	73	4	10	1
8GTC_EMD-34249_G	1	8GTC_EMD-34249_G	singleton	70	22	18	3
8GTC_EMD-34249_M	1	8GTC_EMD-34249_M	singleton	320	208	98	27
8GTC_EMD-34249_P	1	8GTC_EMD-34249_P	singleton	83	39	17	8
8GTC_EMD-34249_S	1	8GTC_EMD-34249_S	singleton	76	14	24	2
8GTD_EMD-34250_A	1	8GTD_EMD-34250_A	singleton	44	206	13	15
8GTD_EMD-34250_B	1	8GTD_EMD-34250_B	singleton	44	206	13	15
8GTF_EMD-34252_A	1	8GTF_EMD-34252_A	singleton	48	9	7	1
8GTF_EMD-34252_M	1	8GTF_EMD-34252_M	singleton	48	9	7	1
8H33_EMD-34449_E	10	8H3A_EMD-34462_L	residue_sum=471	21	450	6	29
8H33_EMD-34449_F	8	8H3A_EMD-34462_J	residue_sum=471	21	450	6	29
8H36_EMD-34452_C	2	8H36_EMD-34452_C	residue_sum=465	20	445	8	31
8H3A_EMD-34462_A	2	8H3A_EMD-34462_A	residue_sum=301	11	290	3	21
8H3A_EMD-34462_B	2	8H3A_EMD-34462_B	residue_sum=307	12	295	5	20
8H3A_EMD-34462_C	2	8H3A_EMD-34462_C	residue_sum=283	13	270	5	22
8H3A_EMD-34462_E	2	8H3F_EMD-34467_E	residue_sum=202	44	158	8	12
8H3A_EMD-34462_F	2	8H3A_EMD-34462_F	residue_sum=204	66	138	11	7
8H3A_EMD-34462_G	2	8H3A_EMD-34462_G	residue_sum=160	16	144	3	10
8H3A_EMD-34462_H	2	8H3A_EMD-34462_H	residue_sum=135	11	124	3	10
8H3F_EMD-34467_D	2	8H3A_EMD-34462_D	residue_sum=299	11	288	3	22
8H3F_EMD-34467_I	8	8H35_EMD-34451_C	residue_sum=477	24	453	8	27
8H3S_EMD-32829_A	2	8H3U_EMD-32828_A	residue_sum=221	191	30	45	7
8H3S_EMD-32829_B	2	8H3U_EMD-32828_B	residue_sum=99	77	22	24	3
8H3S_EMD-32829_C	1	8H3S_EMD-32829_C	singleton	68	23	17	3
8HC6_EMD-34653_B	2	8HC7_EMD-34654_C	residue_sum=151	129	22	38	5
8HC7_EMD-34654_D	1	8HC7_EMD-34654_D	singleton	37	0	13	0
8HCR_EMD-34664_A	1	8HCR_EMD-34664_A	singleton	59	130	19	9
8HCR_EMD-34664_B	1	8HCR_EMD-34664_B	singleton	30	317	16	19
8HCR_EMD-34664_C	1	8HCR_EMD-34664_C	singleton	5	94	5	8
8HCR_EMD-34664_D	1	8HCR_EMD-34664_D	singleton	56	87	15	6
8HCR_EMD-34664_E	1	8HCR_EMD-34664_E	singleton	56	87	15	6
8HCR_EMD-34664_F	1	8HCR_EMD-34664_F	singleton	7	367	5	23
8HCR_EMD-34664_G	1	8HCR_EMD-34664_G	singleton	0	142	0	5
8HCR_EMD-34664_H	1	8HCR_EMD-34664_H	singleton	4	88	1	4
8HCR_EMD-34664_I	1	8HCR_EMD-34664_I	singleton	4	21	2	1
8HEU_EMD-34692_A	2	7ETM_EMD-31299_A	residue_sum=322	48	274	15	23
8HGJ_EMD-34740_A	1	8HGJ_EMD-34740_A	singleton	78	0	29	0
8HGJ_EMD-34740_B	1	8HGJ_EMD-34740_B	singleton	16	3	4	1
8HIA_EMD-34813_A	1	8HIA_EMD-34813_A	singleton	6	0	2	0
8HMD_EMD-34896_A	2	8HMD_EMD-34896_A	residue_sum=386	289	97	58	11
8HMD_EMD-34896_B	1	8HMD_EMD-34896_B	singleton	299	378	63	31
8HMD_EMD-34896_C	1	8HMD_EMD-34896_C	singleton	2	1002	2	74
8HMD_EMD-34896_D	1	8HMD_EMD-34896_D	singleton	2	57	1	8
8HMF_EMD-34898_B	1	8HMF_EMD-34898_B	singleton	356	559	63	48
8HMF_EMD-34898_C	1	8HMF_EMD-34898_C	singleton	295	420	63	39
8HRE_EMD-34968_A	1	8HRE_EMD-34968_A	singleton	271	38	50	6
8HRG_EMD-34972_A	1	8HRG_EMD-34972_A	singleton	143	39	27	5
8HSL_EMD-35000_A	1	8HSL_EMD-35000_A	singleton	86	141	19	15
8HSL_EMD-35000_C	1	8HSL_EMD-35000_C	singleton	83	144	21	15
8HSL_EMD-35000_D	1	8HSL_EMD-35000_D	singleton	88	147	20	16
8HSL_EMD-35000_E	1	8HSL_EMD-35000_E	singleton	85	140	21	15
8HSL_EMD-35000_F	1	8HSL_EMD-35000_F	singleton	84	142	20	15
8HWL_EMD-35059_A	1	8HWL_EMD-35059_A	singleton	168	387	34	40
8I13_EMD-35116_E	4	7QCD_EMD-13895_E	residue_sum=186	32	154	6	13
8I2H_EMD-35136_A	1	8I2H_EMD-35136_A	singleton	75	246	25	13
8I6U_EMD-35207_A	1	8I6U_EMD-35207_A	singleton	13	388	11	33
8I7O_EMD-35229_AE	1	8I7O_EMD-35229_AE	singleton	0	12	0	1
8I7O_EMD-35229_VF	1	8I7O_EMD-35229_VF	singleton	12	0	1	0
8I9J_EMD-35274_A	1	8I9J_EMD-35274_A	singleton	4	32	2	6
8I9J_EMD-35274_C	1	8I9J_EMD-35274_C	singleton	8	33	5	4
8I9M_EMD-35276_A	1	8I9M_EMD-35276_A	singleton	2	8	2	2
8I9M_EMD-35276_B	1	8I9M_EMD-35276_B	singleton	8	3	6	1
8IC2_EMD-35352_AB	1	8IC2_EMD-35352_AB	singleton	0	5	0	1
8IC2_EMD-35352_B	1	8IC2_EMD-35352_B	singleton	2	0	2	0
8IC2_EMD-35352_BB	4	7DGR_EMD-30674_IB	residue_sum=5	5	0	1	0
8IC2_EMD-35352_F	3	8IC2_EMD-35352_F	residue_sum=13	13	0	1	0
8IC2_EMD-35352_FB	1	8IC2_EMD-35352_FB	singleton	7	2	1	1
8IC2_EMD-35352_G	5	7DGQ_EMD-30673_W	residue_sum=19	19	0	1	0
8IC2_EMD-35352_M	1	8IC2_EMD-35352_M	singleton	1	0	1	0
8IC2_EMD-35352_N	1	8IC2_EMD-35352_N	singleton	2	0	1	0
8IC2_EMD-35352_O	1	8IC2_EMD-35352_O	singleton	6	0	1	0
8IC2_EMD-35352_P	1	8IC2_EMD-35352_P	singleton	10	0	1	0
8IC2_EMD-35352_Q	1	8IC2_EMD-35352_Q	singleton	5	0	1	0
8IC2_EMD-35352_QA	1	8IC2_EMD-35352_QA	singleton	2	0	1	0
8IC2_EMD-35352_X	1	8IC2_EMD-35352_X	singleton	0	1	0	1
8IER_EMD-35391_A	2	8IEL_EMD-35385_A	residue_sum=513	112	401	34	42
8IF6_EMD-35402_A	1	8IF6_EMD-35402_A	singleton	113	216	34	27
8IF6_EMD-35402_B	1	8IF6_EMD-35402_B	singleton	12	100	3	8
8IF6_EMD-35402_C	1	8IF6_EMD-35402_C	singleton	45	127	10	15
8IGQ_EMD-35437_A	1	8IGQ_EMD-35437_A	singleton	31	33	13	6
8IGQ_EMD-35437_B	1	8IGQ_EMD-35437_B	singleton	28	62	11	8
8IGQ_EMD-35437_D	1	8IGQ_EMD-35437_D	singleton	20	186	5	16
8IQF_EMD-35660_A	2	7Y5V_EMD-33626_A	residue_sum=68	8	60	3	6
8IQF_EMD-35660_E	2	7Y5V_EMD-33626_E	residue_sum=51	0	51	0	4
8IZN_EMD-35866_A	2	8IZN_EMD-35866_A	residue_sum=41	16	25	8	5
8IZN_EMD-35866_B	1	8IZN_EMD-35866_B	singleton	20	21	7	3
8J5Z_EMD-35996_A	1	8J5Z_EMD-35996_A	singleton	22	354	10	32
8JF7_EMD-36209_D	1	8JF7_EMD-36209_D	singleton	91	218	39	22
8JF7_EMD-36209_E	1	8JF7_EMD-36209_E	singleton	26	10	12	2
8JF7_EMD-36209_F	1	8JF7_EMD-36209_F	singleton	23	6	19	2
8JF7_EMD-36209_I	1	8JF7_EMD-36209_I	singleton	76	15	23	3
8JF7_EMD-36209_J	1	8JF7_EMD-36209_J	singleton	66	7	24	2
8JHK_EMD-36271_A	7	8XM7_EMD-38466_A	residue_sum=447	50	397	13	36
8JPG_EMD-36479_A	1	8JPG_EMD-36479_A	singleton	109	171	21	6
8JPG_EMD-36479_E	1	8JPG_EMD-36479_E	singleton	109	168	21	5
8K9B_EMD-36983_B	3	8K9M_EMD-36991_B	residue_sum=128	111	17	22	4
8K9B_EMD-36983_C	3	8K9B_EMD-36983_C	residue_sum=567	336	231	65	20
8ODU_EMD-16817_A	2	8ODV_EMD-16819_A	residue_sum=173	27	146	8	12
8ODU_EMD-16817_C	2	8ODU_EMD-16817_C	residue_sum=169	2	167	2	9
8OJJ_EMD-16914_A	1	8OJJ_EMD-16914_A	singleton	17	68	3	6
8OOH_EMD-17015_A	1	8OOH_EMD-17015_A	singleton	49	136	8	15
8OOK_EMD-17017_A	1	8OOK_EMD-17017_A	singleton	0	171	0	7
8OSH_EMD-17153_A	1	8OSH_EMD-17153_A	singleton	24	125	8	14
8OVF_EMD-17213_A	3	8OVF_EMD-17213_A	residue_sum=450	97	353	28	30
8P0V_EMD-17339_A	2	8P0V_EMD-17339_A	residue_sum=286	0	286	0	5
8P0V_EMD-17339_B	2	8P0V_EMD-17339_B	residue_sum=360	0	360	0	12
8P0V_EMD-17339_C	1	8P0V_EMD-17339_C	singleton	58	172	15	18
8P0V_EMD-17339_D	4	8P0V_EMD-17339_D	residue_sum=98	64	34	13	5
8P0V_EMD-17339_E	2	8P0X_EMD-17341_D	residue_sum=662	30	632	12	43
8P0X_EMD-17341_E	1	8P0X_EMD-17341_E	singleton	161	14	22	3
8P13_EMD-17344_B	7	7L0S_EMD-23102_C	residue_sum=249	10	239	2	10
8P13_EMD-17344_F	2	8P13_EMD-17344_F	residue_sum=107	101	6	20	2
8P13_EMD-17344_G	2	8P15_EMD-17345_G	residue_sum=18	0	18	0	2
8PHT_EMD-17674_A	1	8PHT_EMD-17674_A	singleton	0	88	0	6
8PUG_EMD-17942_A	6	8PU7_EMD-17930_A	residue_sum=76	0	76	0	6
8PWL_EMD-17994_A	2	8HAE_EMD-34586_A	residue_sum=508	46	462	17	48
8Q4L_EMD-18149_A	1	8Q4L_EMD-18149_A	singleton	40	339	12	19
8Q4L_EMD-18149_B	1	8Q4L_EMD-18149_B	singleton	0	182	0	9
8Q5H_EMD-18179_A	1	8Q5H_EMD-18179_A	singleton	0	168	0	6
8Q5H_EMD-18179_B	1	8Q5H_EMD-18179_B	singleton	0	143	0	6
8Q5H_EMD-18179_C	1	8Q5H_EMD-18179_C	singleton	0	168	0	6
8Q5H_EMD-18179_D	1	8Q5H_EMD-18179_D	singleton	2	152	2	7
8Q5H_EMD-18179_E	1	8Q5H_EMD-18179_E	singleton	2	152	2	7
8Q5H_EMD-18179_F	1	8Q5H_EMD-18179_F	singleton	52	76	9	5
8Q5H_EMD-18179_G	1	8Q5H_EMD-18179_G	singleton	6	140	3	7
8QPU_EMD-18562_E	2	8QPW_EMD-18564_F	residue_sum=121	12	109	3	7
8QQL_EMD-18595_A	1	8QQL_EMD-18595_A	singleton	6	69	6	6
8QQM_EMD-18596_A	1	8QQM_EMD-18596_A	singleton	0	145	0	5
8QQM_EMD-18596_B	1	8QQM_EMD-18596_B	singleton	0	143	0	5
8QQM_EMD-18596_C	1	8QQM_EMD-18596_C	singleton	1	148	1	6
8QQM_EMD-18596_E	1	8QQM_EMD-18596_E	singleton	0	138	0	5
8QV0_EMD-18664_A	1	8QV0_EMD-18664_A	singleton	69	188	15	18
8QV0_EMD-18664_B	1	8QV0_EMD-18664_B	singleton	69	189	19	17
8QX8_EMD-18701_A	1	8QX8_EMD-18701_A	singleton	98	389	30	35
8QX8_EMD-18701_B	1	8QX8_EMD-18701_B	singleton	89	254	32	30
8QX8_EMD-18701_C	1	8QX8_EMD-18701_C	singleton	59	372	24	33
8QX8_EMD-18701_D	1	8QX8_EMD-18701_D	singleton	63	255	17	27
8QX8_EMD-18701_E	1	8QX8_EMD-18701_E	singleton	0	146	0	12
8QX8_EMD-18701_F	1	8QX8_EMD-18701_F	singleton	118	508	34	45
8RHN_EMD-19177_A	1	8RHN_EMD-19177_A	singleton	2	146	2	8
8RHN_EMD-19177_E	1	8RHN_EMD-19177_E	singleton	58	27	12	4
8RHN_EMD-19177_G	1	8RHN_EMD-19177_G	singleton	50	23	15	3
8RHN_EMD-19177_I	1	8RHN_EMD-19177_I	singleton	44	29	16	5
8RJK_EMD-19250_A	1	8RJK_EMD-19250_A	singleton	15	207	7	18
8RK4_EMD-19259_A	1	8RK4_EMD-19259_A	singleton	105	34	26	4
8RK5_EMD-19260_A	1	8RK5_EMD-19260_A	singleton	123	33	23	6
8RK5_EMD-19260_B	1	8RK5_EMD-19260_B	singleton	112	22	24	3
8RRT_EMD-19464_A	2	8RRU_EMD-19465_E	residue_sum=2710	470	2240	126	181
8RRT_EMD-19464_I	2	8RRT_EMD-19464_I	residue_sum=52	37	15	8	3
8RTA_EMD-19484_E	1	8RTA_EMD-19484_E	singleton	56	43	9	5
8RTY_EMD-19499_E	1	8RTY_EMD-19499_E	singleton	8	250	6	21
8RTY_EMD-19499_J	1	8RTY_EMD-19499_J	singleton	1	0	1	0
8RVE_EMD-16844_A	1	8RVE_EMD-16844_A	singleton	4	0	1	0
8S41_EMD-19708_A	1	8S41_EMD-19708_A	singleton	2	126	2	11
8S90_EMD-40233_A	1	8S90_EMD-40233_A	singleton	0	154	0	11
8SAL_EMD-40273_A	2	8SAT_EMD-40279_A	residue_sum=225	172	53	39	6
8SAL_EMD-40273_B	2	8SAT_EMD-40279_B	residue_sum=77	6	71	1	9
8SAL_EMD-40273_C	2	8SAT_EMD-40279_C	residue_sum=70	60	10	13	3
8SAT_EMD-40279_D	2	8SAT_EMD-40279_D	residue_sum=55	52	3	11	1
8SIM_EMD-40509_E	2	8SIM_EMD-40509_E	residue_sum=270	0	270	0	16
8SL3_EMD-40572_C	5	7YU7_EMD-34101_D	residue_sum=35	0	35	0	4
8SL4_EMD-40573_A	2	8SL4_EMD-40573_A	residue_sum=725	132	593	16	37
8SLI_EMD-40578_A	2	8SLQ_EMD-40580_A	residue_sum=644	45	599	15	45
8SQZ_EMD-40715_A	2	8SQZ_EMD-40715_A	residue_sum=318	4	314	4	21
8SQZ_EMD-40715_C	1	8SQZ_EMD-40715_C	singleton	0	135	0	11
8SQZ_EMD-40715_E	1	8SQZ_EMD-40715_E	singleton	0	23	0	3
8SSL_EMD-40751_A	2	8STA_EMD-40758_A	residue_sum=648	109	539	31	49
8SXI_EMD-40853_A	1	8SXI_EMD-40853_A	singleton	157	60	43	9
8SXI_EMD-40853_B	1	8SXI_EMD-40853_B	singleton	7	72	1	3
8SXI_EMD-40853_C	1	8SXI_EMD-40853_C	singleton	61	6	11	2
8SXI_EMD-40853_D	1	8SXI_EMD-40853_D	singleton	49	3	11	1
8T1H_EMD-40967_A	1	8T1H_EMD-40967_A	singleton	44	354	9	21
8T1I_EMD-40968_F	2	8T1I_EMD-40968_F	residue_sum=54	0	54	0	3
8T1I_EMD-40968_H	3	8T1I_EMD-40968_H	residue_sum=81	0	81	0	3
8T1I_EMD-40968_I	3	8T1L_EMD-40971_I	residue_sum=512	99	413	31	30
8T1I_EMD-40968_J	3	8T1I_EMD-40968_J	residue_sum=69	6	63	2	6
8T1I_EMD-40968_M	3	8T1I_EMD-40968_M	residue_sum=88	56	32	13	3
8T1I_EMD-40968_N	1	8T1I_EMD-40968_N	singleton	0	29	0	5
8T1I_EMD-40968_O	3	8T1L_EMD-40971_N	residue_sum=79	33	46	10	4
8T1I_EMD-40968_U	1	8T1I_EMD-40968_U	singleton	0	23	0	2
8T1I_EMD-40968_W	3	8T1I_EMD-40968_W	residue_sum=84	0	84	0	3
8T1L_EMD-40971_C	3	8T1I_EMD-40968_B	residue_sum=123	0	123	0	5
8T1L_EMD-40971_D	3	8T1L_EMD-40971_D	residue_sum=100	0	100	0	3
8T1L_EMD-40971_E	3	8T9D_EMD-41107_D	residue_sum=100	0	100	0	3
8T1L_EMD-40971_T	3	8T1I_EMD-40968_V	residue_sum=131	20	111	4	9
8T1L_EMD-40971_W	3	8T1I_EMD-40968_Y	residue_sum=97	0	97	0	3
8T1L_EMD-40971_X	3	8T1L_EMD-40971_X	residue_sum=97	0	97	0	3
8T4I_EMD-41032_A	1	8T4I_EMD-41032_A	singleton	40	362	21	25
8T4I_EMD-41032_B	1	8T4I_EMD-41032_B	singleton	53	366	14	23
8T8F_EMD-41098_A	5	7YQH_EMD-34025_D	residue_sum=198	5	193	3	19
8T8F_EMD-41098_B	3	7YQH_EMD-34025_E	residue_sum=298	5	293	5	23
8T9D_EMD-41107_A	3	8T1I_EMD-40968_A	residue_sum=251	79	172	21	14
8T9D_EMD-41107_E	3	8T1L_EMD-40971_A	residue_sum=155	42	113	15	13
8T9D_EMD-41107_F	1	8T9D_EMD-41107_F	singleton	0	56	0	3
8T9D_EMD-41107_G	3	8T9D_EMD-41107_G	residue_sum=100	0	100	0	5
8T9D_EMD-41107_K	3	8T1I_EMD-40968_K	residue_sum=224	67	157	29	13
8T9D_EMD-41107_L	3	8T1I_EMD-40968_L	residue_sum=231	42	189	14	13
8T9D_EMD-41107_O	3	8T1I_EMD-40968_P	residue_sum=95	0	95	0	3
8T9D_EMD-41107_P	3	8T1I_EMD-40968_Q	residue_sum=108	0	108	0	3
8T9D_EMD-41107_Q	3	8T1I_EMD-40968_R	residue_sum=731	0	731	0	70
8T9D_EMD-41107_R	3	8T9D_EMD-41107_R	residue_sum=736	0	736	0	70
8T9D_EMD-41107_S	3	8T9D_EMD-41107_S	residue_sum=539	0	539	0	49
8T9D_EMD-41107_V	3	8T1L_EMD-40971_V	residue_sum=137	18	119	6	9
8T9D_EMD-41107_Z	2	8T9D_EMD-41107_Z	residue_sum=46	0	46	0	5
8T9L_EMD-41117_A	1	8T9L_EMD-41117_A	singleton	0	87	0	4
8T9L_EMD-41117_B	1	8T9L_EMD-41117_B	singleton	0	81	0	5
8TFC_EMD-41229_A	1	8TFC_EMD-41229_A	singleton	93	169	24	15
8TH8_EMD-41251_A	1	8TH8_EMD-41251_A	singleton	0	261	0	5
8TH8_EMD-41251_B	1	8TH8_EMD-41251_B	singleton	0	220	0	6
8TH8_EMD-41251_C	1	8TH8_EMD-41251_C	singleton	16	337	6	14
8TH8_EMD-41251_D	1	8TH8_EMD-41251_D	singleton	0	256	0	3
8TH8_EMD-41251_E	1	8TH8_EMD-41251_E	singleton	0	254	0	4
